ND 75,escaped,dead,ND 75,escaped,dead,kl-5,escaped,dead,kl-5,escaped,dead,G6Pdh KK,escaped,dead,G6Pdh-KK,escaped,dead,Pgd-KK,escaped,dead,Pgd KK,escaped,dead
1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
3,0,3,3,1,1,3,0,2,3,0,0,3,0,1,3,1,2,3,0,0,3,0,0
5,0,1,5,0,2,5,0,1,5,0,0,5,1,0,5,0,0,5,1,0,5,0,1
8,1,1,8,2,0,8,3,1,8,4,2,8,7,0,8,12,0,8,3,1,8,7,1
10,0,0,10,0,0,10,0,0,10,1,1,10,1,0,10,12,0,10,0,1,10,1,0
12,2,0,12,0,0,12,1,0,12,3,0,12,0,0,12,1,0,12,0,0,12,0,1
15,0,1,15,0,0,15,3,1,15,0,0,15,0,1,15,2,1,15,0,1,15,2,0
17,1,0,17,0,0,17,0,0,17,0,0,17,0,0,17,1,0,17,0,0,17,0,0
19,0,0,19,0,0,19,0,0,19,0,0,19,1,0,19,0,0,19,1,0,19,0,0
22,1,0,22,0,1,22,0,0,22,1,0,22,1,0,22,1,2,22,0,1,22,0,2
24,1,0,24,4,0,24,0,0,24,1,0,24,0,0,24,3,0,24,0,0,24,1,1
26,0,1,26,0,0,26,2,0,26,0,1,26,0,0,26,0,0,26,2,0,26,0,0
29,0,2,29,2,1,29,1,0,29,1,0,29,0,0,29,1,0,29,0,1,29,1,0
31,0,2,31,3,0,31,1,3,31,1,0,31,2,1,31,3,1,31,1,1,31,1,1
33,0,0,33,0,9,33,0,2,33,1,2,33,0,0,33,0,2,33,1,2,33,0,3
36,1,14,36,2,12,36,1,5,36,0,6,36,1,1,36,0,6,36,3,10,36,0,9
38,0,21,38,6,22,38,0,3,38,0,7,38,1,4,38,0,7,38,0,5,38,2,11
40,2,22,40,0,17,40,0,5,40,1,9,40,0,13,40,2,5,40,0,9,40,1,11
43,1,46,43,3,24,43,0,15,43,3,24,43,1,42,43,6,22,43,1,36,43,0,36
45,0,9,45,0,10,45,0,23,45,3,19,45,2,18,45,2,13,45,0,20,45,4,21
47,0,2,47,0,0,47,0,33,47,0,20,47,2,19,47,2,8,47,2,20,47,0,4
50,0,0,50,0,0,50,0,30,50,1,17,50,5,12,50,1,10,50,0,3,50,0,3
52,0,0,52,0,0,52,0,1,52,0,9,52,0,1,52,0,1,52,0,0,52,0,0
54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,2,54,0,0,54,0,0
57,0,0,57,0,0,57,0,0,57,0,0,57,0,0,57,0,0,57,0,0,57,0,0
59,0,0,59,0,0,59,0,0,59,0,0,59,0,0,59,0,0,59,0,0,59,0,0
61,0,0,61,0,0,61,0,0,61,0,0,61,0,0,61,0,0,61,0,0,61,0,0
