ND 42,escaped,dead,ND 42,escaped,dead,kl-3,escaped,dead,kl-3,escaped,dead,G6Pdh TRIP,escaped,dead,G6Pdh-TRIP,escaped,dead,Pgd-TRIP,escaped,dead,Pgd TRIP,escaped,dead
1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
3,1,1,3,1,2,3,1,0,3,0,2,3,4,1,3,0,1,3,4,0,3,3,0
5,0,0,5,1,0,5,0,2,5,3,0,5,0,0,5,0,1,5,3,1,5,0,2
8,1,0,8,2,0,8,0,0,8,0,0,8,1,1,8,0,0,8,2,0,8,2,1
10,0,2,10,0,0,10,1,0,10,0,0,10,2,0,10,0,0,10,0,1,10,1,0
12,0,1,12,0,0,12,0,1,12,0,0,12,2,0,12,0,0,12,0,0,12,2,0
15,3,0,15,3,0,15,0,0,15,5,1,15,1,1,15,1,1,15,1,0,15,0,0
17,0,0,17,1,1,17,0,0,17,0,0,17,1,0,17,0,0,17,1,0,17,0,1
19,1,0,19,1,0,19,0,1,19,0,0,19,0,0,19,0,1,19,1,0,19,1,1
22,0,1,22,1,0,22,0,0,22,1,2,22,0,0,22,0,1,22,4,1,22,1,0
24,2,1,24,0,1,24,0,0,24,1,0,24,2,2,24,2,1,24,2,0,24,0,2
26,0,3,26,1,2,26,1,1,26,0,0,26,2,2,26,1,4,26,1,0,26,0,0
29,4,7,29,0,12,29,8,4,29,3,7,29,1,1,29,0,2,29,1,2,29,6,1
31,0,3,31,0,6,31,1,4,31,0,4,31,1,5,31,1,2,31,0,2,31,0,1
33,0,8,33,1,16,33,0,14,33,1,4,33,0,4,33,0,7,33,2,1,33,4,7
36,1,29,36,2,32,36,0,19,36,5,7,36,2,16,36,4,17,36,0,43,36,14,24
38,0,10,38,0,7,38,0,13,38,0,11,38,0,7,38,0,21,38,0,12,38,0,5
40,0,27,40,1,16,40,5,24,40,5,32,40,0,24,40,0,26,40,3,15,40,1,12
43,2,41,43,0,33,43,2,49,43,0,34,43,0,43,43,1,55,43,5,19,43,0,18
45,0,17,45,0,7,45,0,13,45,0,28,45,0,17,45,1,9,45,0,10,45,0,6
47,1,7,47,0,2,47,0,2,47,0,1,47,0,10,47,0,1,47,1,8,47,0,12
50,0,3,50,0,2,50,1,0,50,0,0,50,0,5,50,0,0,50,1,7,50,0,6
52,0,0,52,0,0,52,0,0,52,0,0,52,0,0,52,0,0,52,0,0,52,0,0
54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0
57,0,0,57,0,0,57,0,0,57,0,0,57,0,0,57,0,0,57,0,0,57,0,0
59,0,0,59,0,0,59,0,0,59,0,0,59,0,0,59,0,0,59,0,0,59,0,0
61,0,0,61,0,0,61,0,0,61,0,0,61,0,0,61,0,0,61,0,0,61,0,0
